Sample	Metaproteomics_mqc-generalstats-metaproteomics-number_of_spectra	Metaproteomics_mqc-generalstats-metaproteomics-total_number_of_peaks	Metaproteomics_mqc-generalstats-metaproteomics-number_of_MS1_spectra	Metaproteomics_mqc-generalstats-metaproteomics-number_of_MS2_spectra	Metaproteomics_mqc-generalstats-metaproteomics-fdr_general_num_of_matched_spectra
20230216_Lum1_3h_G3_D_Cel_Ce1	103743	26663357	6808	96935	9939
20230216_Lum1_3h_G3_D_Cel_Ce2	98466	26348668	6368	92098	1813
20230216_Lum1_3h_G3_D_Cel_Ce3	100157	26393854	6518	93639	652
20230216_Lum1_3h_G3_D_Cel_Ce4	96078	25669975	6375	89703	918
20230216_Lum1_3h_G3_D_Cel_Ce5	101249	26916713	6768	94481	1493
20230216_Lum1_3h_G3_D_Cel_Co1	95567	26511289	6215	89352	7571
20230216_Lum1_3h_G3_D_Cel_Co2	105172	31188441	6772	98400	9116
20230216_Lum1_3h_G3_D_Cel_Co3	97210	23627020	6520	90690	8040
20230216_Lum1_3h_G3_D_Cel_Co4	94129	21869312	6493	87636	8065
20230216_Lum1_3h_G3_D_Cel_Co5	101004	27829940	6601	94403	4475
20230216_Lum1_3h_G3_N_Cel_Ce1	93603	28061949	6089	87514	6781
20230216_Lum1_3h_G3_N_Cel_Ce2	94382	32399819	6103	88279	3726
20230216_Lum1_3h_G3_N_Cel_Ce3	92105	31222982	5886	86219	3120
20230216_Lum1_3h_G3_N_Cel_Ce4	96166	31671957	6098	90068	4019
20230216_Lum1_3h_G3_N_Cel_Ce5	97489	32497320	6252	91237	5938
20230216_Lum1_3h_G3_N_Cel_Co1	95918	36407481	6065	89853	8983
20230216_Lum1_3h_G3_N_Cel_Co2	93386	30465631	5902	87484	10876
20230216_Lum1_3h_G3_N_Cel_Co3	93073	28543690	5890	87183	8211
20230216_Lum1_3h_G3_N_Cel_Co4	94455	31490251	6000	88455	6890
20230216_Lum1_3h_G3_N_Cel_Co5	93340	29922678	6015	87325	6310
