Sample	number of spectra	total number of peaks	number of MS1 spectra	number of MS2 spectra	search: general: num. of protein hits	search: general: num. of matched spectra	search: general: num. of modified top-hits	search: general: num. of non-redundant peptide hits (only hits that differ in sequence and/or modifications): 	fdr: general: num. of protein hits	fdr: general: num. of matched spectra	fdr: general: num. of modified top-hits	fdr: general: num. of non-redundant peptide hits (only hits that differ in sequence and/or modifications): 
20230216_Lum1_3h_G3_D_Cel_Ce1	103743	26663357	6808	96935	172508	21627	6413	14716	63842	9939	3962	5331
20230216_Lum1_3h_G3_D_Cel_Ce2	98466	26348668	6368	92098	58874	5740	1842	4753	24872	1813	822	1349
20230216_Lum1_3h_G3_D_Cel_Ce3	100157	26393854	6518	93639	18917	1248	460	1001	14073	652	296	491
20230216_Lum1_3h_G3_D_Cel_Ce4	96078	25669975	6375	89703	11371	1472	656	1128	5964	918	451	664
20230216_Lum1_3h_G3_D_Cel_Ce5	101249	26916713	6768	94481	38399	3388	891	2774	20222	1493	537	1117
20230216_Lum1_3h_G3_D_Cel_Co1	95567	26511289	6215	89352	123948	15169	4355	9831	51699	7571	2862	3776
20230216_Lum1_3h_G3_D_Cel_Co2	105172	31188441	6772	98400	142054	19279	5732	13371	62647	9116	3690	5133
20230216_Lum1_3h_G3_D_Cel_Co3	97210	23627020	6520	90690	72013	12769	4664	6959	37131	8040	3554	3364
20230216_Lum1_3h_G3_D_Cel_Co4	94129	21869312	6493	87636	74090	13051	4651	7528	28385	8065	3423	3598
20230216_Lum1_3h_G3_D_Cel_Co5	101004	27829940	6601	94403	44992	6443	2001	3517	29648	4475	1642	2065
20230216_Lum1_3h_G3_N_Cel_Ce1	93603	28061949	6089	87514	90602	12695	3988	8362	44970	6781	2729	3691
20230216_Lum1_3h_G3_N_Cel_Ce2	94382	32399819	6103	88279	104490	9201	1793	7027	41945	3726	1082	2438
20230216_Lum1_3h_G3_N_Cel_Ce3	92105	31222982	5886	86219	76366	7248	1279	5093	36755	3120	834	1754
20230216_Lum1_3h_G3_N_Cel_Ce4	96166	31671957	6098	90068	94485	9528	1685	6669	35386	4019	1022	2250
20230216_Lum1_3h_G3_N_Cel_Ce5	97489	32497320	6252	91237	150931	13677	2374	9687	66155	5938	1489	3419
20230216_Lum1_3h_G3_N_Cel_Co1	95918	36407481	6065	89853	183756	17746	3282	12215	86194	8983	2369	5071
20230216_Lum1_3h_G3_N_Cel_Co2	93386	30465631	5902	87484	103898	18122	4865	10378	45257	10876	3789	4768
20230216_Lum1_3h_G3_N_Cel_Co3	93073	28543690	5890	87183	67577	14362	4739	8097	30901	8211	3524	3465
20230216_Lum1_3h_G3_N_Cel_Co4	94455	31490251	6000	88455	106960	14117	3320	9280	45938	6890	2240	3508
20230216_Lum1_3h_G3_N_Cel_Co5	93340	29922678	6015	87325	86752	13307	4302	8858	37098	6310	2777	3254
